dataset_group,source_record,AIFI_L2,label,Query,n_retrieved_pmids,n_raw_article_rows,n_pmids_found,n_pmids_returned,N1_included_article_rows,N1_included_pmids,cl_sctype_rows,cl_sctype_training_rows
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,CD8aa,CD8aa,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""CD8aa""[Title/Abstract] OR ""CD8aas""[Title/Abstract])",2,2,2,2,1,1,18,36
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,DN T cell,DN T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""DN T cell""[Title/Abstract] OR ""DN T cells""[Title/Abstract])",160,160,160,160,144,144,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,MAIT,MAIT,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""MAIT""[Title/Abstract] OR ""MAITs""[Title/Abstract])",1029,1029,1029,1029,984,984,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Memory CD4 T cell,Memory CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD4 T cell""[Title/Abstract] OR ""Memory CD4 T cells""[Title/Abstract])",1660,1660,1660,1660,1340,1340,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Memory CD8 T cell,Memory CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Memory CD8 T cell""[Title/Abstract] OR ""Memory CD8 T cells""[Title/Abstract])",1483,1483,1483,1483,1267,1267,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Naive CD4 T cell,Naive CD4 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD4 T cell""[Title/Abstract] OR ""Naive CD4 T cells""[Title/Abstract])",1843,1843,1843,1843,1501,1501,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Naive CD8 T cell,Naive CD8 T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Naive CD8 T cell""[Title/Abstract] OR ""Naive CD8 T cells""[Title/Abstract])",558,558,558,558,375,375,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Proliferating T cell,Proliferating T cell,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Proliferating T cell""[Title/Abstract] OR ""Proliferating T cells""[Title/Abstract])",230,230,230,230,222,222,2,4
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,Treg,Treg,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""Treg""[Title/Abstract] OR ""Tregs""[Title/Abstract])",3000,3000,18252,3000,2876,2876,15,30
N1,hiai_tcells_ncbi_articles_exact_title_abstract_blood_cells.csv,gamma delta T,gamma delta T,"(homo sapiens[Mesh]) AND (Blood Cells[Mesh]) AND (""gamma delta T""[Title/Abstract] OR ""gamma delta Ts""[Title/Abstract])",1773,1773,1773,1773,1722,1722,15,30
